State_code,State,Municipality,Municipal_code,Year,Treatment,MajorHighway,MajorPort,Airports,Railline,Oilline,Intlborder,Shoreline,Poppies,MajCity,Mayor,MayorParty,Attack,Attack_count,Incumbent,Population,Homicidio,id_code
30,Veracruz,Nogales,115,2019,0,1,0,0,0,0,0,0,0,0,Guillermo Mejía Peralta,ALIANZA,0,0,0,5586,0,30-115
7,Chiapas,Maravilla Tenejapa,115,2020,1,1,0,0,0,0,1,0,0,0,Iván Fernando Méndez Pérez,MOVER A CHIAPAS,0,0,0,5586,2,7-115
14,Jalisco,Villa Guerrero,115,2020,1,1,0,0,0,0,0,0,0,0,Aldo Gamboa Gutiérrez,PAN,0,0,0,5586,0,14-115
15,Mexico,Xonacatlán,115,2020,1,1,0,0,0,0,0,0,0,0,Serafín Gutiérrez Morales,MRN,0,0,0,5586,0,15-115
21,Puebla,Quecholac,115,2020,1,1,0,0,0,0,0,0,0,0,José Alejandro Martínez Fuentes,MC,0,0,0,20127,0,21-115
30,Veracruz,Nogales,115,2020,0,1,0,0,0,0,0,0,0,0,Guillermo Mejía Peralta,ALIANZA,0,0,0,20127,3,30-115
7,Chiapas,Maravilla Tenejapa,115,2021,1,1,0,0,0,0,1,0,0,0,,CHIAPAS UNIDO,0,0,0,20127,0,7-115
14,Jalisco,Villa Guerrero,115,2021,1,1,0,0,0,0,0,0,0,0,Jose Alfredo Solis Sarrelangue,PRI,0,0,0,20127,2,14-115
15,Mexico,Xonacatlán,115,2021,1,1,0,0,0,0,0,0,0,0,Alfredo González González,MRN,0,0,0,20127,0,15-115
21,Puebla,Piaxtla,115,2021,1,1,0,0,0,0,0,0,0,0,Miguel Ángel Maceda Carrera,PT,0,0,0,20127,4,21-115
30,Veracruz,Nogales,115,2021,0,1,0,0,0,0,0,0,0,0,Ernesto Torres Navarro,PVEM-PT-Morena,0,0,0,20127,0,30-115
7,Chiapas,Benemérito de las Américas,114,2015,1,1,0,0,0,0,1,0,1,0,Gabriel Gomez Jaimes,PVEM,0,0,0,3730,1,7-114
14,Jalisco,Villa Corona,114,2015,1,1,0,0,0,0,0,0,0,0,Jose De Jesus Uribe Lopez,CPJ,0,0,0,3730,0,14-114
15,Mexico,Villa Victoria,114,2015,1,1,0,0,0,0,0,0,0,1,Sara Dominguez Alvarez,CPEM,0,0,0,3730,0,15-114
21,Puebla,Puebla,114,2015,1,1,0,0,1,1,0,0,0,1,Eduardo Rivera Perez,CPP,0,0,0,3730,0,21-114
30,Veracruz,Nautla,114,2015,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,3730,0,30-114
7,Chiapas,Benemérito de las Américas,114,2016,1,1,0,0,0,0,1,0,1,0,Gabriel Gomez Jaimes,PVEM,0,0,0,3730,0,7-114
14,Jalisco,Villa Corona,114,2016,1,1,0,0,0,0,0,0,0,0,Jose De Jesus Uribe Lopez,CPJ,0,0,0,3730,0,14-114
15,Mexico,Villa Victoria,114,2016,1,1,0,0,0,0,0,0,0,1,Sara Dominguez Alvarez,CPEM,0,0,0,104085,10,15-114
21,Puebla,Puebla,114,2016,1,1,0,0,1,1,0,0,0,1,Eduardo Rivera Perez,CPP,0,0,0,104085,10,21-114
30,Veracruz,Nautla,114,2016,0,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,104085,6,30-114
7,Chiapas,Benemérito de las Américas,114,2017,1,1,0,0,0,0,1,0,1,0,Olinda Flor Moreno Velázquez,PVEM,0,0,0,104085,9,7-114
14,Jalisco,Villa Corona,114,2017,1,1,0,0,0,0,0,0,0,0,Rodolfo Rubalcava Muñoz,PH,0,0,0,104085,10,14-114
15,Mexico,Villa Victoria,114,2017,1,1,0,0,0,0,0,0,0,1,Marcos Manuel Castrejon Morales,PRI,0,0,0,104085,12,15-114
21,Puebla,Puebla,114,2017,1,1,0,0,1,1,0,0,0,1,Luis Banck Serrato,CPU,0,0,0,104085,2,21-114
30,Veracruz,Nautla,114,2017,0,1,0,0,0,0,0,0,0,0,Gumaro Ochoa Artezan,CVPA,0,0,0,33396,2,30-114
7,Chiapas,Benemérito de las Américas,114,2018,1,1,0,0,0,0,1,0,1,0,Olinda Flor Moreno Velázquez,PVEM,0,0,0,33396,3,7-114
14,Jalisco,Villa Corona,114,2018,1,1,0,0,0,0,0,0,0,0,Rodolfo Rubalcava Muñoz,PH,0,0,0,33396,4,14-114
15,Mexico,Villa Victoria,114,2018,1,1,0,0,0,0,0,0,0,1,Marcos Manuel Castrejon Morales,PRI,0,0,0,33396,3,15-114
21,Puebla,Puebla,114,2018,1,1,0,0,1,1,0,0,0,1,Luis Banck Serrato,CPU,1,1,1,33396,12,21-114
30,Veracruz,Nautla,114,2018,0,1,0,0,0,0,0,0,0,0,Gumaro Ochoa Artezan,CVPA,0,0,0,33396,8,30-114
7,Chiapas,Benemérito de las Américas,114,2019,1,1,0,0,0,0,1,0,1,0,Juan Gómez Morales,MORENA,0,0,0,33396,14,7-114
14,Jalisco,Villa Corona,114,2019,1,1,0,0,0,0,0,0,0,0,Luis René Ruelas Ortega,INDEPENDIENTE,0,0,0,12004,2,14-114
15,Mexico,Villa Victoria,114,2019,1,1,0,0,0,0,0,0,0,1,Mario Santana Carbajal,MRN,0,0,0,12004,3,15-114
21,Puebla,Puebla,114,2019,1,1,0,0,1,1,0,0,0,1,Claudia Rivera Vivanco,CP,1,1,0,12004,4,21-114
30,Veracruz,Nautla,114,2019,0,1,0,0,0,0,0,0,0,0,Daicy Faibre Montoya,ALIANZA,0,0,0,12004,1,30-114
7,Chiapas,Benemérito de las Américas,114,2020,1,1,0,0,0,0,1,0,1,0,Juan Gómez Morales,MORENA,0,0,0,12004,4,7-114
14,Jalisco,Villa Corona,114,2020,1,1,0,0,0,0,0,0,0,0,Luis René Ruelas Ortega,INDEPENDIENTE,0,0,0,12004,0,14-114
15,Mexico,Villa Victoria,114,2020,1,1,0,0,0,0,0,0,0,1,Mario Santana Carbajal,MRN,0,0,0,12004,1,15-114
21,Puebla,Puebla,114,2020,1,1,0,0,1,1,0,0,0,1,Claudia Rivera Vivanco,CP,0,0,0,53938,10,21-114
30,Veracruz,Nautla,114,2020,0,1,0,0,0,0,0,0,0,0,Daicy Faibre Montoya,ALIANZA,0,0,0,53938,14,30-114
7,Chiapas,Benemérito de las Américas,114,2021,1,1,0,0,0,0,1,0,1,0,,PT,0,0,0,53938,5,7-114
14,Jalisco,Villa Corona,114,2021,1,1,0,0,0,0,0,0,0,0,Armando Sencion Guzman,PES,0,0,0,53938,6,14-114
15,Mexico,Villa Victoria,114,2021,1,1,0,0,0,0,0,0,0,1,Maria Luisa Carmona Alvarado,PRI,0,0,0,53938,11,15-114
21,Puebla,Petlalcingo,114,2021,1,1,0,0,0,0,0,0,0,0,Isabel Vergara Tapia,PRI,0,0,0,53938,7,21-114
